system:index,cellCount,psim_id,scym9,state,year,yield_tha,yield_tha_noW,.geo
00000000000000005369,71500,26852.0,1.0,IN,2011,15980,16053,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000536a,71499,26853.0,1.0,IN,2011,10999,10900,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000536b,71507,26854.0,1.0,IN,2011,24526,24533,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000536c,71502,26855.0,1.0,IN,2011,30220,30176,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000536d,71501,26856.0,1.0,IN,2011,22257,22059,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000536e,71503,26857.0,1.0,IN,2011,23839,23883,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000536f,71519,26858.0,1.0,IN,2011,22411,22539,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005370,71520,26859.0,1.0,IN,2011,11503,11481,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005371,71503,26860.0,1.0,IN,2011,16398,16215,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005372,71504,26861.0,1.0,IN,2011,20962,18917,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005373,71511,26862.0,1.0,IN,2011,14238,12869,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005374,71503,26863.0,1.0,IN,2011,9212,8876,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005375,71500,26864.0,1.0,IN,2011,13529,13532,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005376,71506,26865.0,1.0,IN,2011,16572,13513,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005377,71500,26866.0,1.0,IN,2011,14513,13698,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005378,71503,26867.0,1.0,IN,2011,19068,18655,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005379,71505,26868.0,1.0,IN,2011,26891,25552,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000537a,71548,26869.0,1.0,IN,2011,13603,13242,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000537b,71504,26870.0,1.0,IN,2011,10396,10371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000537c,71500,26871.0,1.0,IN,2011,15753,15787,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005446,71602,27102.0,1.0,IN,2011,5465,5445,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005447,71592,27103.0,1.0,IN,2011,4463,4471,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005448,71587,27104.0,1.0,IN,2011,3470,3384,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005449,71603,27105.0,1.0,IN,2011,8034,7740,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000544a,71599,27106.0,1.0,IN,2011,7932,6188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000544b,71596,27107.0,1.0,IN,2011,5762,5280,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000544c,71602,27108.0,1.0,IN,2011,6352,6215,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000544d,71597,27109.0,1.0,IN,2011,30497,30273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000544e,71601,27110.0,1.0,IN,2011,34780,34540,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000544f,71619,27111.0,1.0,IN,2011,33157,32506,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005450,71602,27112.0,1.0,IN,2011,38703,35732,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005451,71597,27113.0,1.0,IN,2011,35126,27282,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005452,71602,27114.0,1.0,IN,2011,31625,28137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005453,71601,27115.0,1.0,IN,2011,12797,12747,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005454,71597,27116.0,1.0,IN,2011,21980,22021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005455,71599,27117.0,1.0,IN,2011,24059,24031,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005456,71603,27118.0,1.0,IN,2011,31469,31503,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005457,71598,27119.0,1.0,IN,2011,23695,23759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005458,71597,27120.0,1.0,IN,2011,23254,23201,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005459,71601,27121.0,1.0,IN,2011,25509,25493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000545a,71645,27122.0,1.0,IN,2011,27509,27487,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000545b,71600,27123.0,1.0,IN,2011,22284,22423,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000545c,71596,27124.0,1.0,IN,2011,30303,30043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000545d,71594,27125.0,1.0,IN,2011,25532,23224,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000545e,71609,27126.0,1.0,IN,2011,17239,16249,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000545f,71603,27127.0,1.0,IN,2011,25244,25010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005460,71593,27128.0,1.0,IN,2011,15355,15232,"{""type"":""MultiPoint"",""coordinates"":[]}"
