psim7,YieldEffect,model
0.171468994140625,-4.317843319798787,WT_Jul_cor100
0.6659660034179687,-0.5665870248882214,WT_Jul_cor100
0.7798820190429687,-0.08778460791953613,WT_Jul_cor100
0.859031005859375,0.050184283107016725,WT_Jul_cor100
0.9149730224609376,0.11104328814501763,WT_Jul_cor100
0.9640960083007812,0.14574456002582714,WT_Jul_cor100
1.004197021484375,0.16532501674826694,WT_Jul_cor100
1.040196044921875,0.17515901171759918,WT_Jul_cor100
1.0713299560546874,0.18279305685264813,WT_Jul_cor100
1.100032958984375,0.18976032240708118,WT_Jul_cor100
1.127363037109375,0.19582423930319592,WT_Jul_cor100
1.1527969970703125,0.19843899410036148,WT_Jul_cor100
1.177406005859375,0.2005302521073764,WT_Jul_cor100
1.2006190185546874,0.20305923742758303,WT_Jul_cor100
1.2224730224609377,0.2040937082408032,WT_Jul_cor100
1.24404296875,0.20438117218888507,WT_Jul_cor100
1.2644610595703123,0.20441785993897454,WT_Jul_cor100
1.2847569580078124,0.20470446124815744,WT_Jul_cor100
1.3031519775390623,0.20509181622027395,WT_Jul_cor100
1.32222900390625,0.20515323837465083,WT_Jul_cor100
1.3405179443359374,0.2053290316285592,WT_Jul_cor100
1.3571400146484376,0.20524618721144083,WT_Jul_cor100
1.3733160400390625,0.2049299067830317,WT_Jul_cor100
1.389873046875,0.20483531948077616,WT_Jul_cor100
1.40629296875,0.20322088561760498,WT_Jul_cor100
1.4225260009765626,0.2035148820064805,WT_Jul_cor100
1.4384150390625,0.20342759100616803,WT_Jul_cor100
1.454616943359375,0.2026466467086463,WT_Jul_cor100
1.4709739990234374,0.20162510567290326,WT_Jul_cor100
1.4874300537109375,0.20095483913916024,WT_Jul_cor100
1.504449951171875,0.19980021580253826,WT_Jul_cor100
1.521531005859375,0.1988137309849396,WT_Jul_cor100
1.5390279541015626,0.19795995539436273,WT_Jul_cor100
1.5565400390625,0.19653211878114263,WT_Jul_cor100
1.5740340576171874,0.19503298234007094,WT_Jul_cor100
1.591427001953125,0.19352715285614863,WT_Jul_cor100
1.608572998046875,0.19148141771380445,WT_Jul_cor100
1.625969970703125,0.18888847433182665,WT_Jul_cor100
1.6440660400390623,0.18555130834988187,WT_Jul_cor100
1.66218603515625,0.18326982159299554,WT_Jul_cor100
1.680259033203125,0.18133743036337702,WT_Jul_cor100
1.6977130126953126,0.17933659131097457,WT_Jul_cor100
1.7148990478515624,0.1765201360259745,WT_Jul_cor100
1.7319659423828124,0.17379538131190575,WT_Jul_cor100
1.7494019775390626,0.17102802947724616,WT_Jul_cor100
1.7657559814453123,0.1681122710010028,WT_Jul_cor100
1.782708984375,0.16454577422861405,WT_Jul_cor100
1.7989000244140625,0.16166486354916376,WT_Jul_cor100
1.815427001953125,0.15907539849929897,WT_Jul_cor100
1.83314599609375,0.15690540990061486,WT_Jul_cor100
1.84979296875,0.153658269357984,WT_Jul_cor100
1.8663280029296876,0.14843112112452594,WT_Jul_cor100
1.883071044921875,0.14532530541033584,WT_Jul_cor100
1.899550048828125,0.14175984279278975,WT_Jul_cor100
1.9162349853515623,0.1378999219258974,WT_Jul_cor100
1.933926025390625,0.13352745243042552,WT_Jul_cor100
1.95131005859375,0.1277069158758879,WT_Jul_cor100
1.9688270263671872,0.12217566913434119,WT_Jul_cor100
1.986748046875,0.11779132856156505,WT_Jul_cor100
2.004875,0.11260329061088203,WT_Jul_cor100
2.0236500244140627,0.10713438455517377,WT_Jul_cor100
2.042300048828125,0.10133874460385517,WT_Jul_cor100
2.0608349609375,0.09354114198336294,WT_Jul_cor100
2.08005810546875,0.0886905228403645,WT_Jul_cor100
2.099802001953125,0.07699318841621405,WT_Jul_cor100
2.1204169921875,0.06389747763476539,WT_Jul_cor100
2.141010986328125,0.052674546994569305,WT_Jul_cor100
2.16150390625,0.04427837827225467,WT_Jul_cor100
2.182054931640625,0.037379348081331365,WT_Jul_cor100
2.2023798828125,0.03050996171589393,WT_Jul_cor100
2.223802978515625,0.017089765535164503,WT_Jul_cor100
2.244205078125,0.007297328169396877,WT_Jul_cor100
2.264611083984375,-0.010597418260756442,WT_Jul_cor100
2.286284912109375,-0.030450852025028396,WT_Jul_cor100
2.308764892578125,-0.05159908722895956,WT_Jul_cor100
2.330902099609375,-0.05957579849387695,WT_Jul_cor100
2.35293310546875,-0.09205934162752438,WT_Jul_cor100
2.37394189453125,-0.12053937256437042,WT_Jul_cor100
2.39697607421875,-0.14480653711212543,WT_Jul_cor100
2.41950390625,-0.15581969829348985,WT_Jul_cor100
2.442719970703125,-0.17181668813388118,WT_Jul_cor100
2.467259033203125,-0.19219582790276313,WT_Jul_cor100
2.49352001953125,-0.20916747292408555,WT_Jul_cor100
2.521321044921875,-0.22495260078776003,WT_Jul_cor100
2.549781005859375,-0.24100566426398817,WT_Jul_cor100
2.58002490234375,-0.252468329907666,WT_Jul_cor100
2.61025,-0.2624790262773038,WT_Jul_cor100
2.641537109375,-0.28054845465231093,WT_Jul_cor100
2.6739560546875,-0.2923546598902762,WT_Jul_cor100
2.7051708984375,-0.30220044587572303,WT_Jul_cor100
2.738945068359375,-0.3170926288998235,WT_Jul_cor100
2.774658935546875,-0.33005471273632647,WT_Jul_cor100
2.815,-0.3443035731492716,WT_Jul_cor100
2.867964111328125,-0.35922150715734613,WT_Jul_cor100
2.9356240234375,-0.38357999706976775,WT_Jul_cor100
3.01564208984375,-0.4064795069739855,WT_Jul_cor100
3.10639794921875,-0.4562011827775758,WT_Jul_cor100
3.22068505859375,-0.4869317685400274,WT_Jul_cor100
3.361952880859375,-0.5603308200842809,WT_Jul_cor100
3.542883056640625,-0.6840998359961801,WT_Jul_cor100
3.899126953125,-1.0585361058910423,WT_Jul_cor100
-0.367330015931795,-0.042719757517886044,WT_Jul_cor40
0.6582416527755768,-0.0050561937457535774,WT_Jul_cor40
0.7984209303729761,-0.001287201821619753,WT_Jul_cor40
0.8901424902490855,0.0024260177851581147,WT_Jul_cor40
0.9589526593360892,0.004606469080353434,WT_Jul_cor40
1.0152476304965372,0.006256348636196868,WT_Jul_cor40
1.0630060762035942,0.007606553198478555,WT_Jul_cor40
1.1054846452459277,0.008754627760920855,WT_Jul_cor40
1.1417441921846896,0.010011333150064645,WT_Jul_cor40
1.17664029330011,0.01054893693744724,WT_Jul_cor40
1.208375049338327,0.01161094228307985,WT_Jul_cor40
1.2384634074751235,0.012268066531953455,WT_Jul_cor40
1.2652432383606702,0.012291671174533635,WT_Jul_cor40
1.2915827577606973,0.012456122281931152,WT_Jul_cor40
1.31627743138767,0.0128426119380943,WT_Jul_cor40
1.339076288194708,0.013014344227517904,WT_Jul_cor40
1.3619212068402182,0.013514712575575911,WT_Jul_cor40
1.383899909787464,0.013666377735148963,WT_Jul_cor40
1.404234814036058,0.014067182296259563,WT_Jul_cor40
1.424160724713058,0.014274301085238576,WT_Jul_cor40
