psim_07_m,YieldEffect,speiJu_class
0.1589429931640625,-0.31251540501695,1
0.5510659790039063,-0.25234254424256913,1
0.6895679931640625,-0.1906026957838876,1
0.776552978515625,-0.16440898264311318,1
0.83831201171875,-0.16382701316182438,1
0.8871719970703125,-0.13454900918594223,1
0.9344669799804688,-0.10950249677064719,1
0.97964599609375,-0.0829573690762718,1
1.019739013671875,-0.059078648722934946,1
1.0603360595703124,-0.04033056083271419,1
1.096073974609375,-0.032403725763661184,1
1.1284990234375,-0.018812445543228806,1
1.1684620361328124,-0.00605156296194298,1
1.2088170166015626,6.834731925712267e-4,1
1.2489169921875,0.0020480649361330205,1
1.283969970703125,0.015400037375465248,1
1.3229119873046875,0.021893891044601266,1
1.364491943359375,0.02788328031249776,1
1.39943994140625,0.03499284375412498,1
1.437095947265625,0.03962622646004965,1
1.4831949462890626,0.04500970422320266,1
1.5325150146484374,0.04708998748557269,1
1.5911510009765626,0.04521563789087457,1
1.6549219970703124,0.04917243788499964,1
1.7166650390625,0.04857398289659931,1
1.7844210205078126,0.04351376682790842,1
1.8480870361328126,0.04794807201572204,1
1.9125679931640625,0.051221416574155354,1
1.9904949951171875,0.05049404897923271,1
2.0692109375,0.04573856081824845,1
2.157718994140625,0.05842837060652267,1
2.2698798828125,0.05955089836800459,1
2.39197412109375,0.058914620038207965,1
2.52181298828125,0.07297933188074679,1
2.6763759765625,0.07348224860025543,1
2.862466064453125,0.07985875199087539,1
3.9,0.09291646347773352,1
0.25096299743652345,-0.2646301141794586,2
0.8180989990234375,-0.10720630540291837,2
0.9420830078125,-0.05652043321208247,2
1.0206719970703124,-0.020932415895874967,2
1.0797359619140625,-0.010314443827742603,2
1.1337449951171874,0.004840730117595782,2
1.1812769775390626,0.009649501244693104,2
1.2261409912109376,0.013325139142458808,2
1.2707330322265624,0.019762884020836313,2
1.3126309814453125,0.021343386842772594,2
1.3534429931640626,0.018490994516219827,2
1.3905810546875,0.019250907893465063,2
1.4259840087890625,0.020719758595497795,2
1.4640870361328124,0.02267258835631547,2
1.504052001953125,0.02223546348351796,2
1.548541015625,0.02146158274439275,2
1.59681103515625,0.02124728244801538,2
1.64602099609375,0.018865853091703244,2
1.698404052734375,0.01766260190211061,2
1.746550048828125,0.016465945398001613,2
1.79318994140625,0.011105197014105561,2
1.8396739501953125,0.010363598661667361,2
1.88552294921875,0.009475134198131618,2
1.93814599609375,0.009632980954269288,2
1.9917669677734375,0.006761595509892082,2
2.0449840087890623,0.004251101864113316,2
2.101072998046875,0.0035395094638058233,2
2.1630458984375,0.004473353527875312,2
2.2294208984375,8.01920050405025e-5,2
2.29868798828125,-0.0030585291717990515,2
