speiJu_class2,r2,rmse,psimType,speiClass
1,0.20624762304954103,1.724657325224604,Enhanced Model - with WT,Wet
2,0.20366186201649167,1.649171398444851,Enhanced Model - with WT,Normal
3,0.30689757237387183,1.9350135500677619,Enhanced Model - with WT,Dry
4,0.44467276819256685,2.9294264104036554,Enhanced Model - with WT,Very Dry
1,0.10154539488691841,1.9445208474888758,Standard Model - no WT,Wet
2,0.1536588921148863,2.3102411030154975,Standard Model - no WT,Normal
3,0.26594675116362976,3.3109564522006685,Standard Model - no WT,Dry
4,0.303190752422305,4.402617876853099,Standard Model - no WT,Very Dry
